	community	roi	community_id
1	VisCent	ExStr_1	0
2	VisCent	ExStr_2	0
3	VisCent	ExStr_3	0
4	VisCent	ExStr_4	0
5	VisCent	ExStr_5	0
6	VisCent	ExStr_6	0
7	VisPeri	ExStrSup_1	1
8	VisPeri	ExStrSup_2	1
9	VisPeri	ExStrSup_3	1
10	VisPeri	ExStrSup_4	1
11	VisPeri	ExStrSup_5	1
12	VisPeri	ExStrSup_6	1
13	SomMotA	1	2
14	SomMotA	2	2
15	SomMotA	3	2
16	SomMotA	4	2
17	SomMotA	5	2
18	SomMotA	6	2
19	SomMotA	7	2
20	SomMotA	8	2
21	SomMotB	Aud_1	3
22	SomMotB	Aud_2	3
23	SomMotB	Aud_3	3
24	SomMotB	Aud_4	3
25	SomMotB	Aud_5	3
26	SomMotB	Aud_6	3
27	SomMotB	Aud_7	3
28	SomMotB	Aud_8	3
29	DorsAttnA	TempOcc_1	4
30	DorsAttnA	TempOcc_2	4
31	DorsAttnA	TempOcc_3	4
32	DorsAttnA	SPL_1	4
33	DorsAttnA	SPL_2	4
34	DorsAttnA	SPL_3	4
35	DorsAttnB	PostC_1	5
36	DorsAttnB	PostC_2	5
37	DorsAttnB	PostC_3	5
38	DorsAttnB	PostC_4	5
39	DorsAttnB	FEF_1	5
40	SalVentAttnA	ParOper_1	6
41	SalVentAttnA	Ins_1	6
42	SalVentAttnA	Ins_2	6
43	SalVentAttnA	Ins_3	6
44	SalVentAttnA	ParMed_1	6
45	SalVentAttnA	FrMed_1	6
46	SalVentAttnA	FrMed_2	6
47	SalVentAttnB	IPL_1	7
48	SalVentAttnB	PFCl_1	7
49	SalVentAttnB	PFCv_1	7
50	SalVentAttnB	PFCmp_1	7
51	Limbic	OFC_1	8
52	Limbic	OFC_2	8
53	Limbic	TempPole_1	8
54	Limbic	TempPole_2	8
55	Limbic	TempPole_3	8
56	Limbic	TempPole_4	8
57	ContA	Temp_1	9
58	ContA	IPS_1	9
59	ContA	IPS_2	9
60	ContA	IPS_3	9
61	ContA	PFCd_1	9
62	ContA	PFCl_1	9
63	ContA	PFCl_2	9
64	ContA	PFCl_3	9
65	ContA	PFCl_4	9
66	ContA	Cinga_1	9
67	ContB	Temp_1	10
68	ContB	IPL_1	10
69	ContB	PFCl_1	10
70	ContB	PFClv_1	10
