	community	roi	community_id	commmunity_id
1	VisCent	ExStr_1	ExStr_1	0
2	VisCent	ExStr_2	ExStr_2	0
3	VisCent	ExStr_3	ExStr_3	0
4	VisCent	ExStr_4	ExStr_4	0
5	VisCent	ExStr_5	ExStr_5	0
6	VisCent	ExStr_6	ExStr_6	0
7	VisCent	ExStr_7	ExStr_7	0
8	VisCent	ExStr_8	ExStr_8	0
9	VisCent	ExStr_9	ExStr_9	0
10	VisCent	ExStr_10	ExStr_10	0
11	VisCent	ExStr_11	ExStr_11	0
12	VisCent	ExStr_12	ExStr_12	0
13	VisCent	ExStr_13	ExStr_13	0
14	VisCent	ExStr_14	ExStr_14	0
15	VisCent	ExStr_15	ExStr_15	0
16	VisCent	ExStr_16	ExStr_16	0
17	VisCent	ExStr_17	ExStr_17	0
18	VisCent	ExStr_18	ExStr_18	0
19	VisCent	ExStr_19	ExStr_19	0
20	VisCent	ExStr_20	ExStr_20	0
21	VisCent	ExStr_21	ExStr_21	0
22	VisCent	ExStr_22	ExStr_22	0
23	VisCent	ExStr_23	ExStr_23	0
24	VisCent	ExStr_24	ExStr_24	0
25	VisCent	ExStr_25	ExStr_25	0
26	VisCent	ExStr_26	ExStr_26	0
27	VisCent	ExStr_27	ExStr_27	0
28	VisCent	ExStr_28	ExStr_28	0
29	VisCent	ExStr_29	ExStr_29	0
30	VisCent	ExStr_30	ExStr_30	0
31	VisCent	ExStr_31	ExStr_31	0
32	VisCent	ExStr_32	ExStr_32	0
33	VisCent	ExStr_33	ExStr_33	0
34	VisCent	ExStr_34	ExStr_34	0
35	VisPeri	ExStrSup_1	ExStrSup_1	1
36	VisPeri	ExStrSup_2	ExStrSup_2	1
37	VisPeri	ExStrSup_3	ExStrSup_3	1
38	VisPeri	ExStrSup_4	ExStrSup_4	1
39	VisPeri	ExStrSup_5	ExStrSup_5	1
40	VisPeri	ExStrSup_6	ExStrSup_6	1
41	VisPeri	ExStrSup_7	ExStrSup_7	1
42	VisPeri	ExStrSup_8	ExStrSup_8	1
43	VisPeri	ExStrSup_9	ExStrSup_9	1
44	VisPeri	ExStrSup_10	ExStrSup_10	1
45	VisPeri	ExStrSup_11	ExStrSup_11	1
46	VisPeri	ExStrSup_12	ExStrSup_12	1
47	VisPeri	ExStrSup_13	ExStrSup_13	1
48	VisPeri	ExStrSup_14	ExStrSup_14	1
49	VisPeri	ExStrSup_15	ExStrSup_15	1
50	VisPeri	ExStrSup_16	ExStrSup_16	1
51	VisPeri	ExStrSup_17	ExStrSup_17	1
52	VisPeri	ExStrSup_18	ExStrSup_18	1
53	VisPeri	ExStrSup_19	ExStrSup_19	1
54	VisPeri	ExStrSup_20	ExStrSup_20	1
55	VisPeri	ExStrSup_21	ExStrSup_21	1
56	VisPeri	ExStrSup_22	ExStrSup_22	1
57	VisPeri	ExStrSup_23	ExStrSup_23	1
58	VisPeri	ExStrSup_24	ExStrSup_24	1
59	VisPeri	ExStrSup_25	ExStrSup_25	1
60	VisPeri	ExStrSup_26	ExStrSup_26	1
61	VisPeri	ExStrSup_27	ExStrSup_27	1
62	VisPeri	ExStrSup_28	ExStrSup_28	1
63	VisPeri	ExStrSup_29	ExStrSup_29	1
64	VisPeri	ExStrSup_30	ExStrSup_30	1
65	VisPeri	ExStrSup_31	ExStrSup_31	1
66	VisPeri	ExStrSup_32	ExStrSup_32	1
67	SomMotA	1	1	2
68	SomMotA	2	2	2
69	SomMotA	3	3	2
70	SomMotA	4	4	2
71	SomMotA	5	5	2
72	SomMotA	6	6	2
73	SomMotA	7	7	2
74	SomMotA	8	8	2
75	SomMotA	9	9	2
76	SomMotA	10	10	2
77	SomMotA	11	11	2
78	SomMotA	12	12	2
79	SomMotA	13	13	2
80	SomMotA	14	14	2
81	SomMotA	15	15	2
82	SomMotA	16	16	2
83	SomMotA	17	17	2
84	SomMotA	18	18	2
85	SomMotA	19	19	2
86	SomMotA	20	20	2
87	SomMotA	21	21	2
88	SomMotA	22	22	2
89	SomMotA	23	23	2
90	SomMotA	24	24	2
91	SomMotA	25	25	2
92	SomMotA	26	26	2
93	SomMotA	27	27	2
94	SomMotA	28	28	2
95	SomMotA	29	29	2
96	SomMotA	30	30	2
97	SomMotA	31	31	2
98	SomMotA	32	32	2
99	SomMotA	33	33	2
100	SomMotA	34	34	2
101	SomMotA	35	35	2
102	SomMotA	36	36	2
103	SomMotA	37	37	2
104	SomMotA	38	38	2
105	SomMotA	39	39	2
106	SomMotA	40	40	2
107	SomMotA	41	41	2
108	SomMotA	42	42	2
109	SomMotB	Aud_1	Aud_1	3
110	SomMotB	Aud_2	Aud_2	3
111	SomMotB	Aud_3	Aud_3	3
112	SomMotB	Aud_4	Aud_4	3
113	SomMotB	Aud_5	Aud_5	3
114	SomMotB	Aud_6	Aud_6	3
115	SomMotB	Aud_7	Aud_7	3
116	SomMotB	Aud_8	Aud_8	3
117	SomMotB	Aud_9	Aud_9	3
118	SomMotB	Aud_10	Aud_10	3
119	SomMotB	Aud_11	Aud_11	3
120	SomMotB	Aud_12	Aud_12	3
121	SomMotB	Aud_13	Aud_13	3
122	SomMotB	Aud_14	Aud_14	3
123	SomMotB	Aud_15	Aud_15	3
124	SomMotB	Aud_16	Aud_16	3
125	SomMotB	Aud_17	Aud_17	3
126	SomMotB	Aud_18	Aud_18	3
127	SomMotB	Aud_19	Aud_19	3
128	SomMotB	Aud_20	Aud_20	3
129	SomMotB	Aud_21	Aud_21	3
130	SomMotB	Aud_22	Aud_22	3
131	SomMotB	Aud_23	Aud_23	3
132	SomMotB	Aud_24	Aud_24	3
133	SomMotB	Aud_25	Aud_25	3
134	SomMotB	Aud_26	Aud_26	3
135	SomMotB	Aud_27	Aud_27	3
136	SomMotB	Aud_28	Aud_28	3
137	SomMotB	Aud_29	Aud_29	3
138	SomMotB	Aud_30	Aud_30	3
139	SomMotB	Aud_31	Aud_31	3
140	SomMotB	Aud_32	Aud_32	3
141	SomMotB	Aud_33	Aud_33	3
142	SomMotB	Aud_34	Aud_34	3
143	SomMotB	Aud_35	Aud_35	3
144	SomMotB	Aud_36	Aud_36	3
145	SomMotB	Aud_37	Aud_37	3
146	SomMotB	Aud_38	Aud_38	3
147	SomMotB	Aud_39	Aud_39	3
148	DorsAttnA	TempOcc_1	TempOcc_1	4
149	DorsAttnA	TempOcc_2	TempOcc_2	4
150	DorsAttnA	TempOcc_3	TempOcc_3	4
151	DorsAttnA	TempOcc_4	TempOcc_4	4
152	DorsAttnA	TempOcc_5	TempOcc_5	4
153	DorsAttnA	TempOcc_6	TempOcc_6	4
154	DorsAttnA	TempOcc_7	TempOcc_7	4
155	DorsAttnA	TempOcc_8	TempOcc_8	4
156	DorsAttnA	TempOcc_9	TempOcc_9	4
157	DorsAttnA	SPL_1	SPL_1	4
158	DorsAttnA	SPL_2	SPL_2	4
159	DorsAttnA	SPL_3	SPL_3	4
160	DorsAttnA	SPL_4	SPL_4	4
161	DorsAttnA	SPL_5	SPL_5	4
162	DorsAttnA	SPL_6	SPL_6	4
163	DorsAttnA	SPL_7	SPL_7	4
164	DorsAttnA	SPL_8	SPL_8	4
165	DorsAttnA	SPL_9	SPL_9	4
166	DorsAttnA	SPL_10	SPL_10	4
167	DorsAttnA	SPL_11	SPL_11	4
168	DorsAttnA	SPL_12	SPL_12	4
169	DorsAttnA	SPL_13	SPL_13	4
170	DorsAttnA	SPL_14	SPL_14	4
171	DorsAttnA	SPL_15	SPL_15	4
172	DorsAttnA	SPL_16	SPL_16	4
173	DorsAttnA	SPL_17	SPL_17	4
174	DorsAttnA	SPL_18	SPL_18	4
175	DorsAttnA	SPL_19	SPL_19	4
176	DorsAttnA	SPL_20	SPL_20	4
177	DorsAttnA	SPL_21	SPL_21	4
178	DorsAttnA	SPL_22	SPL_22	4
179	DorsAttnA	SPL_23	SPL_23	4
180	DorsAttnA	SPL_24	SPL_24	4
181	DorsAttnA	SPL_25	SPL_25	4
182	DorsAttnB	TempOcc_1	TempOcc_1	5
183	DorsAttnB	TempOcc_2	TempOcc_2	5
184	DorsAttnB	PostC_1	PostC_1	5
185	DorsAttnB	PostC_2	PostC_2	5
186	DorsAttnB	PostC_3	PostC_3	5
187	DorsAttnB	PostC_4	PostC_4	5
188	DorsAttnB	PostC_5	PostC_5	5
189	DorsAttnB	PostC_6	PostC_6	5
190	DorsAttnB	PostC_7	PostC_7	5
191	DorsAttnB	PostC_8	PostC_8	5
192	DorsAttnB	PostC_9	PostC_9	5
193	DorsAttnB	PostC_10	PostC_10	5
194	DorsAttnB	PostC_11	PostC_11	5
195	DorsAttnB	PostC_12	PostC_12	5
196	DorsAttnB	PostC_13	PostC_13	5
197	DorsAttnB	PostC_14	PostC_14	5
198	DorsAttnB	PostC_15	PostC_15	5
199	DorsAttnB	PostC_16	PostC_16	5
200	DorsAttnB	PostC_17	PostC_17	5
201	DorsAttnB	PostC_18	PostC_18	5
202	DorsAttnB	FEF_1	FEF_1	5
203	DorsAttnB	FEF_2	FEF_2	5
204	DorsAttnB	FEF_3	FEF_3	5
205	DorsAttnB	FEF_4	FEF_4	5
206	DorsAttnB	FEF_5	FEF_5	5
207	DorsAttnB	FEF_6	FEF_6	5
208	DorsAttnB	FEF_7	FEF_7	5
209	DorsAttnB	PrCv_1	PrCv_1	5
210	DorsAttnB	PrCv_2	PrCv_2	5
211	SalVentAttnA	ParOper_1	ParOper_1	6
212	SalVentAttnA	ParOper_2	ParOper_2	6
213	SalVentAttnA	ParOper_3	ParOper_3	6
214	SalVentAttnA	ParOper_4	ParOper_4	6
215	SalVentAttnA	ParOper_5	ParOper_5	6
216	SalVentAttnA	ParOper_6	ParOper_6	6
217	SalVentAttnA	ParOper_7	ParOper_7	6
218	SalVentAttnA	Ins_1	Ins_1	6
219	SalVentAttnA	Ins_2	Ins_2	6
220	SalVentAttnA	Ins_3	Ins_3	6
221	SalVentAttnA	Ins_4	Ins_4	6
222	SalVentAttnA	Ins_5	Ins_5	6
223	SalVentAttnA	Ins_6	Ins_6	6
224	SalVentAttnA	Ins_7	Ins_7	6
225	SalVentAttnA	Ins_8	Ins_8	6
226	SalVentAttnA	Ins_9	Ins_9	6
227	SalVentAttnA	Ins_10	Ins_10	6
228	SalVentAttnA	Ins_11	Ins_11	6
229	SalVentAttnA	Ins_12	Ins_12	6
230	SalVentAttnA	Ins_13	Ins_13	6
231	SalVentAttnA	Ins_14	Ins_14	6
232	SalVentAttnA	Ins_15	Ins_15	6
233	SalVentAttnA	Ins_16	Ins_16	6
234	SalVentAttnA	Ins_17	Ins_17	6
235	SalVentAttnA	Ins_18	Ins_18	6
236	SalVentAttnA	ParMed_1	ParMed_1	6
237	SalVentAttnA	ParMed_2	ParMed_2	6
238	SalVentAttnA	ParMed_3	ParMed_3	6
239	SalVentAttnA	ParMed_4	ParMed_4	6
240	SalVentAttnA	ParMed_5	ParMed_5	6
241	SalVentAttnA	ParMed_6	ParMed_6	6
242	SalVentAttnA	ParMed_7	ParMed_7	6
243	SalVentAttnA	ParMed_8	ParMed_8	6
244	SalVentAttnA	FrMed_1	FrMed_1	6
245	SalVentAttnA	FrMed_2	FrMed_2	6
246	SalVentAttnA	FrMed_3	FrMed_3	6
247	SalVentAttnA	FrMed_4	FrMed_4	6
248	SalVentAttnA	FrMed_5	FrMed_5	6
249	SalVentAttnA	FrMed_6	FrMed_6	6
250	SalVentAttnA	FrMed_7	FrMed_7	6
251	SalVentAttnB	IPL_1	IPL_1	7
252	SalVentAttnB	IPL_2	IPL_2	7
253	SalVentAttnB	PFCd_1	PFCd_1	7
254	SalVentAttnB	PFCl_1	PFCl_1	7
255	SalVentAttnB	PFCl_2	PFCl_2	7
256	SalVentAttnB	PFCl_3	PFCl_3	7
257	SalVentAttnB	PFCl_4	PFCl_4	7
258	SalVentAttnB	PFCl_5	PFCl_5	7
259	SalVentAttnB	PFCl_6	PFCl_6	7
260	SalVentAttnB	PFCv_1	PFCv_1	7
261	SalVentAttnB	PFCv_2	PFCv_2	7
262	SalVentAttnB	PFCv_3	PFCv_3	7
263	SalVentAttnB	PFCv_4	PFCv_4	7
264	SalVentAttnB	PFCv_5	PFCv_5	7
265	SalVentAttnB	PFCv_6	PFCv_6	7
266	SalVentAttnB	PFCv_7	PFCv_7	7
267	SalVentAttnB	PFCv_8	PFCv_8	7
268	SalVentAttnB	OFC_1	OFC_1	7
269	SalVentAttnB	PFCmp_1	PFCmp_1	7
270	SalVentAttnB	PFCmp_2	PFCmp_2	7
271	SalVentAttnB	PFCmp_3	PFCmp_3	7
272	SalVentAttnB	PFCmp_4	PFCmp_4	7
273	Limbic	OFC_1	OFC_1	8
274	Limbic	OFC_2	OFC_2	8
275	Limbic	OFC_3	OFC_3	8
276	Limbic	OFC_4	OFC_4	8
277	Limbic	OFC_5	OFC_5	8
278	Limbic	OFC_6	OFC_6	8
279	Limbic	OFC_7	OFC_7	8
280	Limbic	OFC_8	OFC_8	8
281	Limbic	OFC_9	OFC_9	8
282	Limbic	OFC_10	OFC_10	8
283	Limbic	OFC_11	OFC_11	8
284	Limbic	OFC_12	OFC_12	8
285	Limbic	OFC_13	OFC_13	8
286	Limbic	OFC_14	OFC_14	8
287	Limbic	OFC_15	OFC_15	8
288	Limbic	OFC_16	OFC_16	8
289	Limbic	TempPole_1	TempPole_1	8
290	Limbic	TempPole_2	TempPole_2	8
291	Limbic	TempPole_3	TempPole_3	8
292	Limbic	TempPole_4	TempPole_4	8
293	Limbic	TempPole_5	TempPole_5	8
294	Limbic	TempPole_6	TempPole_6	8
295	Limbic	TempPole_7	TempPole_7	8
296	Limbic	TempPole_8	TempPole_8	8
297	Limbic	TempPole_9	TempPole_9	8
298	Limbic	TempPole_10	TempPole_10	8
299	Limbic	TempPole_11	TempPole_11	8
300	Limbic	TempPole_12	TempPole_12	8
301	Limbic	TempPole_13	TempPole_13	8
302	Limbic	TempPole_14	TempPole_14	8
303	ContA	Temp_1	Temp_1	9
304	ContA	Temp_2	Temp_2	9
305	ContA	Temp_3	Temp_3	9
306	ContA	IPS_1	IPS_1	9
307	ContA	IPS_2	IPS_2	9
308	ContA	IPS_3	IPS_3	9
309	ContA	IPS_4	IPS_4	9
310	ContA	IPS_5	IPS_5	9
311	ContA	IPS_6	IPS_6	9
312	ContA	IPS_7	IPS_7	9
313	ContA	IPS_8	IPS_8	9
314	ContA	IPS_9	IPS_9	9
315	ContA	IPS_10	IPS_10	9
316	ContA	PFCd_1	PFCd_1	9
317	ContA	PFCd_2	PFCd_2	9
318	ContA	PFCl_1	PFCl_1	9
319	ContA	PFCl_2	PFCl_2	9
320	ContA	PFCl_3	PFCl_3	9
321	ContA	PFCl_4	PFCl_4	9
322	ContA	PFCl_5	PFCl_5	9
323	ContA	PFCl_6	PFCl_6	9
324	ContA	PFCl_7	PFCl_7	9
325	ContA	PFCl_8	PFCl_8	9
326	ContA	PFCl_9	PFCl_9	9
327	ContA	PFCl_10	PFCl_10	9
328	ContA	PFCl_11	PFCl_11	9
329	ContA	PFCl_12	PFCl_12	9
330	ContA	PFCl_13	PFCl_13	9
331	ContA	PFCl_14	PFCl_14	9
332	ContA	Cinga_1	Cinga_1	9
333	ContA	Cinga_2	Cinga_2	9
334	ContB	Temp_1	Temp_1	10
335	ContB	Temp_2	Temp_2	10
336	ContB	Temp_3	Temp_3	10
337	ContB	Temp_4	Temp_4	10
338	ContB	IPL_1	IPL_1	10
339	ContB	IPL_2	IPL_2	10
340	ContB	IPL_3	IPL_3	10
341	ContB	IPL_4	IPL_4	10
342	ContB	IPL_5	IPL_5	10
343	ContB	IPL_6	IPL_6	10
344	ContB	IPL_7	IPL_7	10
345	ContB	IPL_8	IPL_8	10
346	ContB	PFCl_1	PFCl_1	10
347	ContB	PFCl_2	PFCl_2	10
348	ContB	PFCl_3	PFCl_3	10
349	ContB	PFCl_4	PFCl_4	10
350	ContB	PFCl_5	PFCl_5	10
351	ContB	PFCl_6	PFCl_6	10
352	ContB	PFClv_1	PFClv_1	10
353	ContB	PFClv_2	PFClv_2	10
354	ContB	PFClv_3	PFClv_3	10
355	ContB	PFClv_4	PFClv_4	10
356	ContB	PFClv_5	PFClv_5	10
357	ContB	PFCmp_1	PFCmp_1	10
358	ContB	PFCmp_2	PFCmp_2	10
359	ContC	pCun_1	pCun_1	11
360	ContC	pCun_2	pCun_2	11
361	ContC	pCun_3	pCun_3	11
362	ContC	pCun_4	pCun_4	11
363	ContC	pCun_5	pCun_5	11
364	ContC	pCun_6	pCun_6	11
365	ContC	pCun_7	pCun_7	11
