	community	roi	commmunity_id
1	VisCent	ExStr_1	0
2	VisCent	ExStr_2	0
3	VisCent	ExStr_3	0
4	VisCent	ExStr_4	0
5	VisCent	ExStr_5	0
6	VisCent	ExStr_6	0
7	VisCent	ExStr_7	0
8	VisCent	ExStr_8	0
9	VisCent	ExStr_9	0
10	VisCent	ExStr_10	0
11	VisCent	ExStr_11	0
12	VisCent	ExStr_12	0
13	VisCent	ExStr_13	0
14	VisCent	ExStr_14	0
15	VisCent	ExStr_15	0
16	VisCent	ExStr_16	0
17	VisCent	ExStr_17	0
18	VisCent	ExStr_18	0
19	VisCent	ExStr_19	0
20	VisCent	ExStr_20	0
21	VisCent	ExStr_21	0
22	VisPeri	ExStrSup_1	1
23	VisPeri	ExStrSup_2	1
24	VisPeri	ExStrSup_3	1
25	VisPeri	ExStrSup_4	1
26	VisPeri	ExStrSup_5	1
27	VisPeri	ExStrSup_6	1
28	VisPeri	ExStrSup_7	1
29	VisPeri	ExStrSup_8	1
30	VisPeri	ExStrSup_9	1
31	VisPeri	ExStrSup_10	1
32	VisPeri	ExStrSup_11	1
33	VisPeri	ExStrSup_12	1
34	VisPeri	ExStrSup_13	1
35	VisPeri	ExStrSup_14	1
36	VisPeri	ExStrSup_15	1
37	VisPeri	ExStrSup_16	1
38	VisPeri	ExStrSup_17	1
39	SomMotA	1	2
40	SomMotA	2	2
41	SomMotA	3	2
42	SomMotA	4	2
43	SomMotA	5	2
44	SomMotA	6	2
45	SomMotA	7	2
46	SomMotA	8	2
47	SomMotA	9	2
48	SomMotA	10	2
49	SomMotA	11	2
50	SomMotA	12	2
51	SomMotA	13	2
52	SomMotA	14	2
53	SomMotA	15	2
54	SomMotA	16	2
55	SomMotA	17	2
56	SomMotA	18	2
57	SomMotA	19	2
58	SomMotA	20	2
59	SomMotA	21	2
60	SomMotA	22	2
61	SomMotA	23	2
62	SomMotA	24	2
63	SomMotA	25	2
64	SomMotA	26	2
65	SomMotA	27	2
66	SomMotA	28	2
67	SomMotA	29	2
68	SomMotB	Aud_1	3
69	SomMotB	Aud_2	3
70	SomMotB	Aud_3	3
71	SomMotB	Aud_4	3
72	SomMotB	Aud_5	3
73	SomMotB	Aud_6	3
74	SomMotB	Aud_7	3
75	SomMotB	Aud_8	3
76	SomMotB	Aud_9	3
