	community	roi	commmunity_id
1	VisCent	ExStr_1	0
2	VisCent	ExStr_2	0
3	VisCent	ExStr_3	0
4	VisCent	ExStr_4	0
5	VisCent	ExStr_5	0
6	VisCent	ExStr_6	0
7	VisCent	ExStr_7	0
8	VisCent	ExStr_8	0
9	VisCent	ExStr_9	0
10	VisCent	ExStr_10	0
11	VisCent	ExStr_11	0
12	VisCent	ExStr_12	0
13	VisCent	ExStr_13	0
14	VisCent	ExStr_14	0
15	VisCent	ExStr_15	0
16	VisCent	ExStr_16	0
17	VisCent	ExStr_17	0
18	VisCent	ExStr_18	0
19	VisCent	ExStr_19	0
20	VisCent	ExStr_20	0
21	VisCent	ExStr_21	0
22	VisCent	ExStr_22	0
23	VisCent	ExStr_23	0
24	VisCent	ExStr_24	0
25	VisCent	ExStr_25	0
26	VisCent	ExStr_26	0
27	VisPeri	ExStrSup_1	1
28	VisPeri	ExStrSup_2	1
29	VisPeri	ExStrSup_3	1
30	VisPeri	ExStrSup_4	1
31	VisPeri	ExStrSup_5	1
32	VisPeri	ExStrSup_6	1
33	VisPeri	ExStrSup_7	1
34	VisPeri	ExStrSup_8	1
35	VisPeri	ExStrSup_9	1
36	VisPeri	ExStrSup_10	1
37	VisPeri	ExStrSup_11	1
38	VisPeri	ExStrSup_12	1
39	VisPeri	ExStrSup_13	1
40	VisPeri	ExStrSup_14	1
41	VisPeri	ExStrSup_15	1
42	VisPeri	ExStrSup_16	1
43	VisPeri	ExStrSup_17	1
44	VisPeri	ExStrSup_18	1
45	VisPeri	ExStrSup_19	1
46	VisPeri	ExStrSup_20	1
47	VisPeri	ExStrSup_21	1
48	VisPeri	ExStrSup_22	1
49	VisPeri	ExStrSup_23	1
50	VisPeri	ExStrSup_24	1
51	VisPeri	ExStrSup_25	1
52	VisPeri	ExStrSup_26	1
53	VisPeri	ExStrSup_27	1
54	VisPeri	ExStrSup_28	1
55	VisPeri	ExStrSup_29	1
56	VisPeri	ExStrSup_30	1
57	SomMotA	1	2
58	SomMotA	2	2
59	SomMotA	3	2
60	SomMotA	4	2
61	SomMotA	5	2
62	SomMotA	6	2
63	SomMotA	7	2
64	SomMotA	8	2
65	SomMotA	9	2
66	SomMotA	10	2
67	SomMotA	11	2
68	SomMotA	12	2
69	SomMotA	13	2
