	community	roi	community_id
1	VisCent	ExStr_1	0
2	VisCent	ExStr_2	0
3	VisCent	ExStr_3	0
4	VisCent	ExStr_4	0
5	VisCent	ExStr_5	0
6	VisCent	ExStr_6	0
7	VisCent	ExStr_7	0
8	VisCent	ExStr_8	0
9	VisCent	ExStr_9	0
10	VisCent	ExStr_10	0
11	VisCent	ExStr_11	0
12	VisCent	ExStr_12	0
13	VisCent	ExStr_13	0
14	VisCent	ExStr_14	0
15	VisCent	ExStr_15	0
16	VisPeri	ExStrSup_1	1
17	VisPeri	ExStrSup_2	1
18	VisPeri	ExStrSup_3	1
19	VisPeri	ExStrSup_4	1
20	VisPeri	ExStrSup_5	1
21	VisPeri	ExStrSup_6	1
22	VisPeri	ExStrSup_7	1
23	VisPeri	ExStrSup_8	1
24	VisPeri	ExStrSup_9	1
25	VisPeri	ExStrSup_10	1
26	VisPeri	ExStrSup_11	1
27	VisPeri	ExStrSup_12	1
28	VisPeri	ExStrSup_13	1
29	VisPeri	ExStrSup_14	1
30	VisPeri	ExStrSup_15	1
31	SomMotA	1	2
32	SomMotA	2	2
33	SomMotA	3	2
34	SomMotA	4	2
35	SomMotA	5	2
36	SomMotA	6	2
37	SomMotA	7	2
38	SomMotA	8	2
39	SomMotA	9	2
40	SomMotA	10	2
41	SomMotA	11	2
42	SomMotA	12	2
43	SomMotA	13	2
44	SomMotA	14	2
45	SomMotA	15	2
46	SomMotA	16	2
47	SomMotA	17	2
48	SomMotA	18	2
49	SomMotA	19	2
50	SomMotA	20	2
51	SomMotA	21	2
52	SomMotA	22	2
53	SomMotA	23	2
54	SomMotB	Aud_1	3
55	SomMotB	Aud_2	3
56	SomMotB	Aud_3	3
57	SomMotB	Aud_4	3
58	SomMotB	Aud_5	3
59	SomMotB	Aud_6	3
60	SomMotB	Aud_7	3
61	SomMotB	Aud_8	3
62	SomMotB	Aud_9	3
63	SomMotB	Aud_10	3
64	SomMotB	Aud_11	3
65	SomMotB	Aud_12	3
66	SomMotB	Aud_13	3
67	SomMotB	Aud_14	3
68	SomMotB	Aud_15	3
69	SomMotB	Aud_16	3
70	SomMotB	Aud_17	3
71	SomMotB	Aud_18	3
72	SomMotB	Aud_19	3
73	SomMotB	Aud_20	3
74	SomMotB	Aud_21	3
